"screen_name","lat","lon"
"plantingtheoar",53.2796966,-6.2678475
"tymmoss",40.747,-73.986
"AppaloosaGuy",37.47472222,-84.51194444
"recentideas",21.5422223,26.8425809
"tymmoss",40.747,-73.986
"trendinaliaUS",38.8991,-77.029
"AppaloosaGuy",37.47472222,-84.51194444
"AppaloosaGuy",37.47472222,-84.51194444
"Aries24b",10.6613759,-71.6112651
"tmj_dc_hrta",38.8940974,-77.0276216
"smarmur0",39.28922874,9.60036317
"meLonundunyasi",41.06806865,28.99229912
"wade_spiker",38.1683207,-75.3904625
"AppaloosaGuy",37.47472222,-84.51194444
"ElPasoCP",31.76017093,-106.4855885
"NewYorkCP",40.71669795,-74.00001602
"LawSchoolEq",36.1621,-86.77872
"LasVegasCP",36.16144999,-115.13946676
"KulpaBart",55.9461,-3.21816
"ChrisTerrell35",32.72549787,-103.12467341
"AppaloosaGuy",37.47472222,-84.51194444
"Chatter_ng",4.828516,7.003183
"greensboro_nc",36.07734156,-79.82107727
"pbump",40.672497,-73.956787
"johnmcano",30.28431872,-97.73447474
"AppaloosaGuy",37.47472222,-84.51194444
"AngelRa82407260",25.7979846,-80.1288138
"julietells",31.96396396,-110.43819866
"TressDawg",29.58525257,-98.55450196
"Luisrsusana",18.4940759,-69.9327712
"AppaloosaGuy",37.47472222,-84.51194444
"keksec__org",66.160507,-153.369141
"FAU4U",26.348342,-80.085774
"aosita",19.4333,-99.1333
"SamuelLJackson",34.16554752,-118.37917557
"myboychf",40.8073249,-72.8533918
"DorisLassak",41.41418088,-75.68667665
"AppaloosaGuy",37.47472222,-84.51194444
"Captain_Strongo",33.20392273,-87.5361135
"keksec__org",66.160507,-153.369141
"RickCat1962",38.20436327,-85.53416168
"JRTuttle4",35.916064,-86.8186999
"AppaloosaGuy",37.47472222,-84.51194444
"keksec__org",66.160507,-153.369141
"Allureby_Alisha",26.00670204,-80.23595114
"pbump",40.672497,-73.956787
"IndieQueenMaz",51.54152,-0.14635
"DetroitCP",42.33312717,-83.04848769
"AppaloosaGuy",37.47472222,-84.51194444
"JamilSmith",40.649869,-73.973942
"trendinaliaFR",48.8569,2.3412
"keksec__org",66.160507,-153.369141
"NYTupelo7",40.8226397,-72.8626424
"KulpaBart",55.9489,-3.36392
"realDonaldTrump",40.762455,-73.9749945
"jkruzel25",39.5009237,-119.8031518
"LosAngelesCP",34.05161048,-118.24533538
"MDDenninger",28.55530206,-81.43874739
"WashingtonCP",38.90181532,-77.03733586
"DallasCP",32.79755357,-96.77401775
"djbuddhaTX",40.71973562,-74.03630579
"tmmaddox2_m",35.117949,-120.6260566
"lcpmusic",33.6417,-84.3903
"VictoriaInPhx",33.4806781,-112.0524343
"trendinaliaBE",50.501,4.4768
"trendinaliaUS",38.8991,-77.029
"mkd_1996",26.314327,127.755143
"sarah1104",38.96893,-94.66856
"artur_305",25.7877,-80.2241
"TDFINN",33.09887878,-96.81847341
"Faisal_Yaqoob_",56.455237,-2.996158
"AppaloosaGuy",37.47472222,-84.51194444
"shaggy56",25.6253446,-80.373093
"AppaloosaGuy",37.47472222,-84.51194444
"79_TransAm",50.6777881,-114.28309
"kaeleeharper",29.56946965,-98.64300739
"ValerieCorey1",38.35539556,-122.76342248
"NK_MarcP",30.25135102,-97.7524614
"kevynashley4",32.22166667,-110.92638889
"AppaloosaGuy",37.47472222,-84.51194444
"JacksonvilleCP",30.32633066,-81.65339546
"bayoubaby",35.207803,-80.8161948
"keksec__org",66.160507,-153.369141
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaIN",21.7866,82.7948
"trendinaliaBE",50.501,4.4768
